"name","url","feed_url","category","topics","is_active","source_type"
"Microsoft Research Blog","https://www.microsoft.com/en-us/research/blog/","https://www.microsoft.com/en-us/research/feed/","AI","[""ai-research"",""microsoft"",""machine-learning"",""azure-ai""]","true","technical_ai"
"Papers With Code","https://paperswithcode.com/latest","https://paperswithcode.com/feed/rss/","AI","[""ai-research"",""benchmarks"",""state-of-the-art"",""machine-learning""]","true","technical_ai"
"ArXiv CS.AI","https://arxiv.org/list/cs.AI/recent","https://arxiv.org/rss/cs.AI","AI","[""ai-research"",""papers"",""machine-learning"",""academic""]","true","technical_ai"
"Towards Data Science","https://towardsdatascience.com/latest","https://towardsdatascience.com/feed","AI","[""data-science"",""machine-learning"",""python"",""ai""]","true","technical_ai"
"Last Week in AI","https://lastweekin.ai/archive","https://lastweekin.ai/feed","AI","[""ai-weekly"",""ai-research"",""llm"",""ai-news""]","true","technical_ai"
"Ahead of AI (Sebastian Raschka)","https://magazine.sebastianraschka.com/archive","https://magazine.sebastianraschka.com/feed","AI","[""llm"",""ai-research"",""deep-learning"",""practical-ai""]","true","technical_ai"
"Martin Fowler","https://martinfowler.com/articles.html","https://martinfowler.com/feed.atom","Engineering","[""software-design"",""architecture"",""refactoring"",""microservices""]","true","engineering"
"Stack Overflow Blog","https://stackoverflow.blog/","https://stackoverflow.blog/feed/","Engineering","[""software-development"",""engineering-culture"",""developer-tools"",""career""]","true","engineering"
"Pragmatic Engineer","https://blog.pragmaticengineer.com/archive/","https://blog.pragmaticengineer.com/rss/","Engineering","[""software-engineering"",""career"",""engineering-management"",""big-tech""]","true","engineering"
"High Scalability","http://highscalability.com/blog/","http://highscalability.com/atom.xml","Engineering","[""system-design"",""scalability"",""architecture"",""distributed-systems""]","true","engineering"
"Netflix Tech Blog","https://netflixtechblog.com/","https://netflixtechblog.com/feed","Engineering","[""system-design"",""streaming"",""engineering-culture"",""distributed-systems""]","true","engineering"
"Slack Engineering","https://slack.engineering/","https://slack.engineering/feed/","Engineering","[""software-engineering"",""distributed-systems"",""engineering-culture"",""real-time-systems""]","true","engineering"
"AWS Architecture Blog","https://aws.amazon.com/blogs/architecture/","https://aws.amazon.com/blogs/architecture/feed/","Engineering","[""cloud"",""aws"",""architecture"",""devops""]","true","engineering"
"Google Cloud Blog","https://cloud.google.com/blog/","https://cloud.google.com/blog/rss.xml","Engineering","[""cloud"",""gcp"",""kubernetes"",""devops""]","true","engineering"
"Kubernetes Blog","https://kubernetes.io/blog/","https://kubernetes.io/feed.xml","Engineering","[""kubernetes"",""cloud-native"",""devops"",""containers""]","true","engineering"
"DevOps.com","https://devops.com/category/blogs/","https://devops.com/feed/","Engineering","[""devops"",""ci-cd"",""sre"",""platform-engineering""]","true","engineering"
"The New Stack","https://thenewstack.io/category/podcasts-and-posts/","https://thenewstack.io/feed/","Engineering","[""cloud-native"",""devops"",""kubernetes"",""open-source""]","true","engineering"
"InfoQ","https://www.infoq.com/articles/","https://feed.infoq.com","Engineering","[""software-architecture"",""devops"",""microservices"",""engineering""]","true","engineering"
"DZone","https://dzone.com/articles","https://feeds.dzone.com/home","Engineering","[""devops"",""java"",""cloud"",""microservices""]","true","engineering"
"ByteByteGo Newsletter","https://blog.bytebytego.com/archive","https://blog.bytebytego.com/feed","Engineering","[""system-design"",""architecture"",""software-engineering"",""interview-prep""]","true","engineering"
"Smashing Magazine","https://www.smashingmagazine.com/articles/","https://www.smashingmagazine.com/feed/","Engineering","[""frontend"",""ux"",""web-development"",""css""]","true","engineering"
"CSS-Tricks","https://css-tricks.com/archives/","https://css-tricks.com/feed/","Engineering","[""css"",""frontend"",""web-development"",""javascript""]","true","engineering"
"React Blog","https://react.dev/blog","https://react.dev/blog/rss.xml","Engineering","[""react"",""javascript"",""frontend"",""web-development""]","true","engineering"
"Hackernoon","https://hackernoon.com/tagged/software-engineering","https://hackernoon.com/feed","Engineering","[""tech"",""software-engineering"",""web3"",""startup-tech""]","true","engineering"
"Harvard Business Review","https://hbr.org/latest","https://hbr.org/feed","Business Strategy","[""leadership"",""management"",""strategy"",""organizational-behavior""]","true","business"
"McKinsey Insights","https://www.mckinsey.com/insights","https://www.mckinsey.com/insights/rss","Business Strategy","[""strategy"",""management"",""operations"",""digital-transformation""]","true","business"
"Stratechery (Ben Thompson)","https://stratechery.com/category/articles/","https://stratechery.com/feed","Business Strategy","[""strategy"",""tech-industry"",""aggregation-theory"",""media""]","true","business"
"Lenny's Newsletter","https://www.lennysnewsletter.com/archive","https://www.lennysnewsletter.com/feed","Business Strategy","[""product-management"",""growth"",""saas"",""career""]","true","product"
"MIT Sloan Management Review","https://sloanreview.mit.edu/articles/","https://sloanreview.mit.edu/feed/","Business Strategy","[""management"",""strategy"",""leadership"",""innovation""]","true","business"
"The Generalist","https://www.generalist.com/briefing","https://www.generalist.com/feed","Business Strategy","[""startups"",""venture-capital"",""strategy"",""deep-reporting""]","true","business"
"Not Boring (Packy McCormick)","https://www.notboring.co/archive","https://www.notboring.co/feed","Business Strategy","[""startups"",""strategy"",""tech"",""venture-capital""]","true","business"
"Seth's Blog","https://seths.blog/","https://seths.blog/feed/","Business Strategy","[""marketing"",""brand"",""leadership"",""strategy""]","true","marketing"
"HubSpot Marketing Blog","https://blog.hubspot.com/marketing","https://blog.hubspot.com/marketing/feed","Marketing","[""content-marketing"",""seo"",""email-marketing"",""inbound""]","true","marketing"
"Moz Blog","https://moz.com/blog","https://moz.com/feeds/blog.rss","Marketing","[""seo"",""link-building"",""local-seo"",""keyword-research""]","true","marketing"
"Semrush Blog","https://www.semrush.com/blog/","https://www.semrush.com/blog/feed/","Marketing","[""seo"",""sem"",""digital-marketing"",""content-strategy""]","true","marketing"
"Copyblogger","https://copyblogger.com/blog/","https://copyblogger.com/feed/","Marketing","[""content-marketing"",""copywriting"",""blogging"",""conversion""]","true","marketing"
"Search Engine Land","https://searchengineland.com/library","https://searchengineland.com/feed/","Marketing","[""seo"",""sem"",""ppc"",""google-updates""]","true","marketing"
"Search Engine Roundtable","https://www.seroundtable.com/archives.html","https://feeds.seroundtable.com/SearchEngineRoundtable","Marketing","[""seo"",""google"",""bing"",""algorithm-updates""]","true","marketing"
"Social Media Examiner","https://www.socialmediaexaminer.com/articles/","https://www.socialmediaexaminer.com/feed/","Marketing","[""social-media"",""instagram"",""linkedin-marketing"",""facebook-ads""]","true","marketing"
"Neil Patel Blog","https://neilpatel.com/blog/","https://neilpatel.com/feed/","Marketing","[""seo"",""growth-hacking"",""content-marketing"",""conversion""]","true","marketing"
"CXL Blog","https://cxl.com/blog/","https://cxl.com/blog/feed/","Marketing","[""conversion-optimization"",""cro"",""growth"",""experimentation""]","true","marketing"
"Content Marketing Institute","https://contentmarketinginstitute.com/articles/","https://contentmarketinginstitute.com/feed/","Marketing","[""content-marketing"",""strategy"",""b2b-marketing"",""content-strategy""]","true","marketing"
"Backlinko","https://backlinko.com/blog","https://backlinko.com/feed","Marketing","[""seo"",""link-building"",""content-marketing"",""keyword-research""]","true","marketing"
"Ahrefs Blog","https://ahrefs.com/blog/","https://ahrefs.com/blog/feed/","Marketing","[""seo"",""link-building"",""keyword-research"",""content-marketing""]","true","marketing"
"Marketing Brew","https://www.marketingbrew.com/latest","https://www.marketingbrew.com/rss","Marketing","[""marketing"",""advertising"",""media"",""marketing-news""]","true","marketing"
"MartTech","https://martech.org/topics/","https://martech.org/feed/","Marketing","[""martech"",""marketing-automation"",""email-marketing"",""digital-marketing""]","true","marketing"
"Product Hunt","https://www.producthunt.com/","https://www.producthunt.com/feed","Product","[""product-launches"",""tools"",""startups"",""saas-products""]","true","product"
"Mind the Product","https://www.mindtheproduct.com/articles/","https://www.mindtheproduct.com/feed/","Product","[""product-management"",""product-strategy"",""ux"",""roadmaps""]","true","product"
"Product School Blog","https://productschool.com/blog","https://productschool.com/blog/feed/","Product","[""product-management"",""career"",""product-strategy"",""pm-skills""]","true","product"
"Intercom Blog","https://www.intercom.com/blog/","https://www.intercom.com/blog/feed","Product","[""product-management"",""customer-success"",""saas"",""ux""]","true","product"
"Mixpanel Blog","https://mixpanel.com/blog/","https://mixpanel.com/blog/feed/","Product","[""product-analytics"",""user-engagement"",""growth"",""data-driven-product""]","true","product"
"Reforge Blog","https://www.reforge.com/blog","https://www.reforge.com/blog/rss.xml","Product","[""growth"",""product-management"",""retention"",""monetization""]","true","product"
"UX Collective","https://uxdesign.cc/","https://uxdesign.cc/feed","Product","[""ux"",""design"",""product-design"",""user-research""]","true","product"
"Nielsen Norman Group","https://www.nngroup.com/articles/","https://www.nngroup.com/feed/rss/","Product","[""ux"",""usability"",""user-research"",""ux-research""]","true","product"
"The Motley Fool","https://www.fool.com/articles/","https://www.fool.com/a/feeds/foolwatch","Finance","[""stocks"",""investing"",""personal-finance"",""stock-analysis""]","true","finance"
"MarketWatch","https://www.marketwatch.com/latest-news","https://feeds.marketwatch.com/marketwatch/topstories/","Finance","[""stocks"",""markets"",""economy"",""investing""]","true","finance"
"Bloomberg Markets","https://www.bloomberg.com/markets","https://feeds.bloomberg.com/markets/rss","Finance","[""finance"",""markets"",""economy"",""bonds""]","true","finance"
"WSJ Markets","https://www.wsj.com/news/markets","https://feeds.a.dj.com/rss/RSSMarketsMain.xml","Finance","[""finance"",""markets"",""business"",""economy""]","true","finance"
"Financial Times","https://www.ft.com/markets","https://www.ft.com/rss/home","Finance","[""finance"",""markets"",""global-economy"",""business""]","true","finance"
"The Economist","https://www.economist.com/finance-and-economics","https://www.economist.com/finance-and-economics/rss.xml","Finance","[""economics"",""global-finance"",""monetary-policy"",""trade""]","true","finance"
"Investopedia","https://www.investopedia.com/news-5079718","https://www.investopedia.com/feedbuilder/feed/getfeed/?feedType=rss","Finance","[""investing"",""personal-finance"",""education"",""stocks""]","true","finance"
"CNBC Finance","https://www.cnbc.com/finance/","https://www.cnbc.com/id/10000664/device/rss/rss.html","Finance","[""finance"",""markets"",""economy"",""business-news""]","true","finance"
"A Wealth of Common Sense (Ben Carlson)","https://awealthofcommonsense.com/","https://awealthofcommonsense.com/feed/","Finance","[""investing"",""personal-finance"",""behavioral-finance"",""markets""]","true","finance"
"Calculated Risk","https://www.calculatedriskblog.com/","https://www.calculatedriskblog.com/feeds/posts/default","Finance","[""macroeconomics"",""housing"",""economic-data"",""fed-policy""]","true","finance"
"Of Dollars and Data (Nick Maggiulli)","https://ofdollarsanddata.com/","https://ofdollarsanddata.com/feed/","Finance","[""investing"",""personal-finance"",""data-driven"",""behavioral-finance""]","true","finance"
"Kiplinger","https://www.kiplinger.com/latest","https://www.kiplinger.com/rss","Finance","[""personal-finance"",""retirement"",""tax"",""investing""]","true","finance"
"Morningstar","https://www.morningstar.com/articles","https://www.morningstar.com/rss/articles.xml","Finance","[""stocks"",""funds"",""portfolio"",""investing-analysis""]","true","finance"
"CoinDesk","https://www.coindesk.com/markets/","https://www.coindesk.com/arc/outboundfeeds/rss/","Crypto","[""bitcoin"",""ethereum"",""crypto-news"",""defi""]","true","crypto"
"Cointelegraph","https://cointelegraph.com/news","https://cointelegraph.com/rss","Crypto","[""crypto-news"",""bitcoin"",""altcoins"",""blockchain""]","true","crypto"
"The Defiant","https://thedefiant.io/news","https://thedefiant.io/api/feed","Crypto","[""defi"",""ethereum"",""web3"",""crypto-analysis""]","true","crypto"
"Decrypt","https://decrypt.co/news","https://decrypt.co/feed","Crypto","[""crypto-news"",""nft"",""web3"",""blockchain""]","true","crypto"
"Chainalysis Blog","https://www.chainalysis.com/blog/","https://www.chainalysis.com/blog/feed/","Crypto","[""blockchain-analytics"",""crypto-crime"",""defi"",""on-chain-data""]","true","crypto"
"Glassnode Insights","https://insights.glassnode.com/","https://insights.glassnode.com/rss/","Crypto","[""on-chain-analytics"",""bitcoin"",""market-intelligence"",""crypto-data""]","true","crypto"
"Messari Research","https://messari.io/research","https://messari.io/rss/news.xml","Crypto","[""crypto-research"",""token-analysis"",""defi"",""web3""]","true","crypto"
"The Block","https://www.theblock.co/latest","https://www.theblock.co/rss.xml","Crypto","[""crypto-news"",""defi"",""blockchain"",""crypto-funding""]","true","crypto"
"Bankless","https://www.bankless.com/read","https://www.bankless.com/rss","Crypto","[""defi"",""ethereum"",""web3"",""crypto-strategy""]","true","crypto"
"a16z Crypto","https://a16zcrypto.com/articles/","https://a16zcrypto.com/feed/","Crypto","[""web3"",""crypto-venture"",""defi"",""blockchain""]","true","crypto"
"Psychology Today","https://www.psychologytoday.com/us/basics","https://www.psychologytoday.com/us/front/feed","Health & Wellness","[""mental-health"",""psychology"",""wellbeing"",""therapy""]","true","health"
"Harvard Health Blog","https://www.health.harvard.edu/blog","https://www.health.harvard.edu/blog/feed","Health & Wellness","[""health"",""medicine"",""nutrition"",""mental-health""]","true","health"
"Nerd Fitness","https://www.nerdfitness.com/blog/","https://www.nerdfitness.com/feed/","Health & Wellness","[""fitness"",""nutrition"",""healthy-lifestyle"",""weight-loss""]","true","health"
"NAMI Blog","https://www.nami.org/Blogs/NAMI-Blog/","https://www.nami.org/feed/","Health & Wellness","[""mental-health"",""advocacy"",""mental-illness"",""wellbeing""]","true","health"
"Well+Good","https://www.wellandgood.com/good-advice/","https://www.wellandgood.com/feed/","Health & Wellness","[""wellness"",""fitness"",""nutrition"",""mental-wellness""]","true","health"
"Zen Habits","https://zenhabits.net/archives/","https://zenhabits.net/feed/","Health & Wellness","[""mindfulness"",""habits"",""simplicity"",""mental-wellness""]","true","health"
"Muscle & Fitness","https://www.muscleandfitness.com/features/","https://www.muscleandfitness.com/feed/","Health & Wellness","[""fitness"",""strength-training"",""nutrition"",""bodybuilding""]","true","health"
"Precision Nutrition Blog","https://www.precisionnutrition.com/blog","https://www.precisionnutrition.com/blog/feed","Health & Wellness","[""nutrition"",""diet"",""coaching"",""fitness""]","true","health"
"James Clear (Atomic Habits)","https://jamesclear.com/articles","https://jamesclear.com/feed","Leadership & Self-Improvement","[""habits"",""productivity"",""self-improvement"",""decision-making""]","true","leadership"
"Mark Manson","https://markmanson.net/articles","https://markmanson.net/feed","Leadership & Self-Improvement","[""self-improvement"",""relationships"",""mental-health"",""philosophy""]","true","leadership"
"Farnam Street (Shane Parrish)","https://fs.blog/articles/","https://fs.blog/feed/","Leadership & Self-Improvement","[""mental-models"",""decision-making"",""learning"",""leadership""]","true","leadership"
"Wait But Why (Tim Urban)","https://waitbutwhy.com/archive","https://waitbutwhy.com/feed","Leadership & Self-Improvement","[""long-form"",""philosophy"",""technology"",""future""]","true","leadership"
"Ness Labs","https://nesslabs.com/articles","https://nesslabs.com/feed","Leadership & Self-Improvement","[""productivity"",""neuroscience"",""learning"",""mental-health""]","true","leadership"
"The Muse","https://www.themuse.com/advice","https://www.themuse.com/feed","Leadership & Self-Improvement","[""career"",""job-search"",""workplace"",""professional-development""]","true","leadership"
"Korn Ferry Insights","https://www.kornferry.com/insights","https://www.kornferry.com/insights/this-week-in-leadership.rss","Leadership & Self-Improvement","[""leadership"",""executive"",""organizational-behavior"",""talent""]","true","leadership"
"Harvard Business Review — Leadership","https://hbr.org/topic/subject/leadership","https://hbr.org/rss/topic/leadership","Leadership & Self-Improvement","[""leadership"",""management"",""executive"",""organizational-behavior""]","true","leadership"
"Tiny Buddha","https://tinybuddha.com/blog-posts/","https://tinybuddha.com/feed/","Leadership & Self-Improvement","[""mindfulness"",""self-improvement"",""relationships"",""mental-wellness""]","true","leadership"
"Indie Hackers","https://www.indiehackers.com/explore","https://www.indiehackers.com/rss","Indie Hacker & Creator","[""indie-hacking"",""bootstrapping"",""saas"",""solo-founder""]","true","indie_hacker"
"Pieter Levels Blog","https://levels.io/","https://levels.io/feed/","Indie Hacker & Creator","[""indie-hacking"",""remote-work"",""nomad"",""bootstrapping""]","true","indie_hacker"
"Justin Jackson Blog","https://justinjackson.ca/words/","https://justinjackson.ca/feed","Indie Hacker & Creator","[""bootstrapping"",""saas"",""marketing"",""indie-hacking""]","true","indie_hacker"
"The SaaS Podcast Blog","https://saaspodcast.com/blog","https://saaspodcast.com/feed","Indie Hacker & Creator","[""saas"",""bootstrapping"",""growth"",""founder-stories""]","true","indie_hacker"
"Creator Economy Newsletter","https://creatoreconomy.so/archive","https://creatoreconomy.so/feed","Indie Hacker & Creator","[""creator-economy"",""newsletters"",""monetization"",""content-creation""]","true","indie_hacker"
"Arvid Kahl (The Bootstrapped Founder)","https://thebootstrappedfounder.com/blog/","https://thebootstrappedfounder.com/feed/","Indie Hacker & Creator","[""bootstrapping"",""saas"",""audience-building"",""indie-hacking""]","true","indie_hacker"
"Pankaj Mishra (EV Stories India)","https://evreporter.com/news/","https://evreporter.com/feed/","EV & Clean Energy","[""electric-vehicles"",""ev-india"",""clean-energy"",""sustainability""]","true","sustainability"
"Electrek","https://electrek.co/guides/news/","https://electrek.co/feed/","EV & Clean Energy","[""electric-vehicles"",""tesla"",""clean-energy"",""ev-news""]","true","sustainability"
"CleanTechnica","https://cleantechnica.com/cleantechnica-news/","https://cleantechnica.com/feed/","EV & Clean Energy","[""clean-energy"",""solar"",""electric-vehicles"",""climate-tech""]","true","sustainability"
"Carbon Brief","https://www.carbonbrief.org/category/news/","https://www.carbonbrief.org/feed/","EV & Clean Energy","[""climate-change"",""energy-policy"",""renewables"",""climate-data""]","true","sustainability"
"GreenBiz","https://www.greenbiz.com/articles","https://www.greenbiz.com/feed","EV & Clean Energy","[""sustainability"",""esg"",""clean-energy"",""circular-economy""]","true","sustainability"
"Real Python","https://realpython.com/tutorials/","https://realpython.com/atom.xml","Developer Education","[""python"",""tutorials"",""software-development"",""data-science""]","true","engineering"
"freeCodeCamp News","https://www.freecodecamp.org/news","https://www.freecodecamp.org/news/rss/","Developer Education","[""web-development"",""tutorials"",""javascript"",""python""]","true","engineering"
"CSS Weekly","https://css-weekly.com/issues/","https://css-weekly.com/feed/","Developer Education","[""css"",""frontend"",""web-design"",""animations""]","true","engineering"
"JavaScript Weekly","https://javascriptweekly.com/issues","https://cprss.s3.amazonaws.com/javascriptweekly.com.xml","Developer Education","[""javascript"",""nodejs"",""frontend"",""web-development""]","true","engineering"
"Retail Dive","https://www.retaildive.com/latest/","https://www.retaildive.com/feeds/news/","E-commerce & Retail","[""ecommerce"",""retail"",""d2c"",""consumer-behavior""]","true","ecommerce"
"Shopify Blog","https://www.shopify.com/blog","https://www.shopify.com/blog/feed","E-commerce & Retail","[""ecommerce"",""d2c"",""shopify"",""retail-strategy""]","true","ecommerce"
"A/B Tasty Blog","https://www.abtasty.com/blog/","https://www.abtasty.com/blog/feed/","E-commerce & Retail","[""cro"",""conversion"",""ecommerce"",""experimentation""]","true","ecommerce"
"2PM (Web Smith)","https://2pml.com/articles/","https://2pml.com/feed/","E-commerce & Retail","[""d2c"",""ecommerce"",""retail-strategy"",""brand""]","true","ecommerce"
"Future of Education","https://www.edsurge.com/news","https://www.edsurge.com/articles.rss","Education & EdTech","[""edtech"",""education"",""online-learning"",""ed-innovation""]","true","education"
"eLearning Industry","https://elearningindustry.com/articles","https://elearningindustry.com/feed","Education & EdTech","[""elearning"",""lms"",""corporate-training"",""ed-technology""]","true","education"
"EdSurge","https://www.edsurge.com/news","https://www.edsurge.com/articles.rss","Education & EdTech","[""higher-education"",""k12"",""edtech"",""education-policy""]","true","education"
"Supply Chain Dive","https://www.supplychaindive.com/latest/","https://www.supplychaindive.com/feeds/news/","Operations & Supply Chain","[""supply-chain"",""logistics"",""procurement"",""operations""]","true","operations"
"Freightwaves","https://www.freightwaves.com/news","https://www.freightwaves.com/news/feed","Operations & Supply Chain","[""freight"",""logistics"",""shipping"",""supply-chain""]","true","operations"
"Spend Matters","https://spendmatters.com/articles/","https://spendmatters.com/feed/","Operations & Supply Chain","[""procurement"",""sourcing"",""supply-chain"",""spend-management""]","true","operations"
"VentureBeat","https://venturebeat.com/category/ai/","https://venturebeat.com/feed/","Media & Culture","[""tech-news"",""ai"",""gaming"",""enterprise-tech""]","true","business"
"Wired","https://www.wired.com/latest/","https://www.wired.com/feed/rss","Media & Culture","[""technology"",""culture"",""science"",""future""]","true","business"
"MIT Technology Review","https://www.technologyreview.com/stories/","https://www.technologyreview.com/stories.rss","Media & Culture","[""technology"",""ai"",""science"",""future-of-tech""]","true","technical_ai"
"Rest of World","https://restofworld.org/latest/","https://restofworld.org/feed/","Media & Culture","[""global-tech"",""emerging-markets"",""tech-policy"",""digital-divide""]","true","business"
"Nieman Lab","https://www.niemanlab.org/articles/","https://www.niemanlab.org/feed/","Media & Culture","[""journalism"",""media"",""digital-media"",""publishing""]","true","media"
"SaaStr","https://www.saastr.com/category/blog/","https://www.saastr.com/feed/","SaaS & B2B","[""saas"",""b2b"",""revenue"",""sales""]","true","business"
"OpenView Blog","https://openviewpartners.com/blog/","https://openviewpartners.com/blog/feed/","SaaS & B2B","[""saas"",""product-led-growth"",""plg"",""b2b""]","true","business"
"Kellblog (Dave Kellogg)","https://kellblog.com/","https://kellblog.com/feed/","SaaS & B2B","[""saas"",""ceo"",""revenue"",""b2b-strategy""]","true","business"
"Jason Lemkin (SaaStr Blog)","https://jasonlemkin.com/","https://jasonlemkin.com/feed","SaaS & B2B","[""saas"",""cro"",""revenue"",""sales-leadership""]","true","business"
"Baremetrics Blog","https://baremetrics.com/blog","https://baremetrics.com/blog/feed","SaaS & B2B","[""saas-metrics"",""mrr"",""churn"",""subscription""]","true","business"
"ChartMogul Blog","https://chartmogul.com/blog/","https://chartmogul.com/blog/feed/","SaaS & B2B","[""saas-metrics"",""arr"",""nrr"",""subscription-analytics""]","true","business"
